pickup_latitude,pickup_longitude,num
40.75936,-73.93649,12917
40.758282,-73.937872,12052
40.758187,-73.937787,10694
40.758277,-73.937715,10187
40.758457,-73.937835,10071
40.744844,-73.948726,9887
40.785089,-73.955877,8901
40.75825,-73.937778,7589
40.758215,-73.937667,7511
40.76599,-74.02305,6949
40.745072,-73.948742,6674
40.758242,-73.937768,6483
40.765967,-73.83461,6315
40.758267,-73.937765,5894
40.75822,-73.937835,5022
40.744916,-73.949047,4824
40.774151,-73.961672,4557
40.769682,-73.863084,3208
40.736054,-73.990946,2769
40.656971,-73.793986,2752
40.758012,-73.937583,2725
40.693141,-74.186303,2289
40.744624,-73.948797,2188
40.758147,-73.937525,2120
40.622553,-73.98807,2112
40.759425,-73.965037,2080
40.69314193725586,-74.1863021850586,2045
40.7449,-73.948636,1963
40.758277,-73.937773,1906
40.737008,-73.993023,1818
40.758242,-73.937765,1791
40.837168,-73.850417,1719
40.74489974975586,-73.94863891601562,1630
40.758255,-73.937782,1611
40.75469207763672,-73.93939971923828,1560
40.683192,-73.980598,1513
40.737279,-73.978211,1361
40.72050094604492,-73.99268341064453,1178
40.684943,-73.985871,1040
40.770647,-73.990782,1016
40.72767639160156,-74.00314331054688,996
40.763824,-73.903,882
40.731502532958984,-73.98845672607422,840
40.75829315185547,-73.9365005493164,840
40.631965,-73.97738,825
40.76035,-73.9237,816
40.774070739746094,-73.87448120117188,798
40.774051666259766,-73.87445831298828,789
40.783367,-73.945297,765
40.773738861083984,-73.87088775634766,749
40.771025,-73.867134,746
40.726818,-73.867595,737
40.773738861083984,-73.8708724975586,735
40.774078369140625,-73.87448120117188,731
40.77402877807617,-73.87444305419922,729
40.77376174926758,-73.87088775634766,722
40.757315,-74.004832,717
40.774051666259766,-73.87448120117188,711
40.774078369140625,-73.87449645996094,710
40.774070739746094,-73.87449645996094,708
40.77408981323242,-73.87449645996094,686
40.65666198730469,-73.79329681396484,686
40.774051666259766,-73.87447357177734,678
40.77402877807617,-73.87445831298828,677
40.77376174926758,-73.87093353271484,673
40.64537048339844,-73.77670288085938,671
40.773738861083984,-73.870849609375,663
40.77410125732422,-73.87451934814453,662
40.645408630371094,-73.77670288085938,661
40.77402114868164,-73.87444305419922,659
40.77404022216797,-73.87445831298828,656
40.77378845214844,-73.87093353271484,656
40.774070739746094,-73.87447357177734,648
40.77376174926758,-73.87091064453125,645
40.773738861083984,-73.87084197998047,643
40.77376174926758,-73.8708724975586,640
40.774051666259766,-73.87444305419922,638
40.77410888671875,-73.87451934814453,636
40.758362,-73.937692,630
40.774051666259766,-73.87445068359375,629
40.77376937866211,-73.87091064453125,629
40.77402877807617,-73.87445068359375,628
40.77375030517578,-73.87088775634766,627
40.77408981323242,-73.87451934814453,627
40.71283,-74.008285,626
40.774078369140625,-73.87451171875,624
40.77410125732422,-73.87452697753906,624
40.64537811279297,-73.77670288085938,623
40.77410888671875,-73.87454986572266,622
40.774078369140625,-73.87451934814453,620
40.77410888671875,-73.87452697753906,618
40.77378845214844,-73.87088775634766,616
40.645408630371094,-73.77671813964844,614
40.774070739746094,-73.87445831298828,611
40.77410888671875,-73.87454223632812,610
40.75114059448242,-73.9941177368164,610
40.77376937866211,-73.87088775634766,606
40.71501,-73.97725,603
40.77410125732422,-73.87454223632812,602
40.77376174926758,-73.87091827392578,599
40.750929,-73.944819,598
40.77378845214844,-73.87091064453125,598
40.77412033081055,-73.87454986572266,597
40.64537048339844,-73.77671813964844,596
40.773738861083984,-73.87088012695312,594
40.75117874145508,-73.99407196044922,592
40.75120162963867,-73.99407196044922,590
40.75117874145508,-73.99410247802734,588
40.77410125732422,-73.87454986572266,586
40.77404022216797,-73.87445068359375,585
40.75117874145508,-73.9941177368164,584
40.75117874145508,-73.99408721923828,582
40.77373123168945,-73.8708724975586,582
40.77375030517578,-73.8708724975586,581
40.645408630371094,-73.7767333984375,576
40.77370071411133,-73.87084197998047,575
40.64535140991211,-73.77670288085938,574
40.77410125732422,-73.87449645996094,573
40.774078369140625,-73.87447357177734,572
40.75120162963867,-73.99408721923828,571
40.773738861083984,-73.87091064453125,571
40.774070739746094,-73.8744888305664,571
40.64540100097656,-73.77670288085938,570
40.77375030517578,-73.87091064453125,570
40.773738861083984,-73.87091827392578,569
40.64537048339844,-73.7767105102539,569
40.77404022216797,-73.87444305419922,568
40.77410888671875,-73.87451171875,567
40.64537811279297,-73.77671813964844,566
40.75117874145508,-73.99407958984375,565
40.77410125732422,-73.87451171875,565
40.773738861083984,-73.87085723876953,565
40.77408981323242,-73.87451171875,564
40.774070739746094,-73.87451171875,564
40.752985,-73.974389,564
40.773780822753906,-73.87093353271484,562
40.75120162963867,-73.99410247802734,562
40.77378845214844,-73.8709487915039,562
40.773738861083984,-73.87090301513672,562
40.77373123168945,-73.87088775634766,558
40.77412033081055,-73.87454223632812,558
40.773738861083984,-73.87093353271484,557
40.64537811279297,-73.7767105102539,557
40.773719787597656,-73.87084197998047,556
40.64537048339844,-73.77667999267578,556
40.7740592956543,-73.87445831298828,555
40.77373123168945,-73.87084197998047,555
40.77375030517578,-73.87093353271484,551
40.774009704589844,-73.87444305419922,551
40.774070739746094,-73.87451934814453,550
40.645320892333984,-73.77670288085938,548
40.751121520996094,-73.9941177368164,547
40.77376174926758,-73.87090301513672,546
40.75120162963867,-73.99407958984375,545
40.77408981323242,-73.87448120117188,545
40.77376174926758,-73.87088012695312,544
40.77410888671875,-73.87449645996094,543
40.77412033081055,-73.87451934814453,542
40.77376937866211,-73.8708724975586,542
40.77373123168945,-73.870849609375,542
40.77410888671875,-73.87457275390625,541
40.77412033081055,-73.87457275390625,540
40.75122833251953,-73.99407196044922,540
40.75114059448242,-73.99410247802734,538
40.77378845214844,-73.87091827392578,537
40.77399826049805,-73.87444305419922,537
40.773738861083984,-73.87081909179688,534
40.77376937866211,-73.87093353271484,532
40.77408981323242,-73.8744888305664,532
40.75114059448242,-73.994140625,531
40.77370071411133,-73.87079620361328,530
40.77402114868164,-73.87445831298828,530
40.645389556884766,-73.77670288085938,529
40.64540100097656,-73.77671813964844,528
40.77402877807617,-73.87442779541016,526
40.751190185546875,-73.99407196044922,525
40.761192,-73.978971,525
40.75115966796875,-73.9941177368164,524
40.75117111206055,-73.99410247802734,523
40.77410888671875,-73.87455749511719,523
40.77412033081055,-73.87455749511719,523
40.7740592956543,-73.87448120117188,523
40.77373123168945,-73.87085723876953,523
40.774051666259766,-73.87449645996094,522
40.77412033081055,-73.87452697753906,522
40.77375030517578,-73.87090301513672,522
40.75115966796875,-73.99410247802734,521
40.774078369140625,-73.8744888305664,521
40.77376174926758,-73.8709487915039,520
40.751190185546875,-73.99407958984375,520
40.645408630371094,-73.7767105102539,519
40.75117111206055,-73.99408721923828,519
40.751220703125,-73.99407196044922,519
40.75122833251953,-73.99407958984375,519
40.774078369140625,-73.87445831298828,518
40.77375030517578,-73.87088012695312,517
40.77375030517578,-73.870849609375,516
40.645389556884766,-73.77671813964844,516
40.751190185546875,-73.99408721923828,515
40.77370834350586,-73.87084197998047,515
40.64537811279297,-73.7767333984375,514
40.77376174926758,-73.87085723876953,514
40.75114822387695,-73.9941177368164,513
40.773780822753906,-73.87091064453125,510
40.77402114868164,-73.87445068359375,509
40.645328521728516,-73.77670288085938,509
40.75120162963867,-73.9941177368164,508
40.758247,-73.937782,508
40.64537048339844,-73.7767333984375,508
40.75120162963867,-73.99405670166016,507
40.773719787597656,-73.870849609375,506
40.64537048339844,-73.77668762207031,506
40.773780822753906,-73.8709487915039,505
40.75117874145508,-73.99411010742188,504
40.77402114868164,-73.87442779541016,503
40.77373123168945,-73.87091064453125,502
40.77376174926758,-73.87084197998047,501
40.7740592956543,-73.87447357177734,500
40.645301818847656,-73.77670288085938,500
40.64535140991211,-73.77671813964844,499
40.751251220703125,-73.99407196044922,499
40.77408981323242,-73.87452697753906,499
40.751220703125,-73.99407958984375,499
40.854835510253906,-73.9311294555664,498
40.77375030517578,-73.87091827392578,498
40.768453,-73.862793,496
40.77376174926758,-73.870849609375,496
40.773719787597656,-73.8708724975586,495
40.77410125732422,-73.87455749511719,494
40.748945,-73.891814,494
40.77378845214844,-73.87090301513672,493
40.773990631103516,-73.87444305419922,492
40.77373123168945,-73.87088012695312,492
40.77381134033203,-73.87093353271484,491
40.75122833251953,-73.99404907226562,490
40.77404022216797,-73.87447357177734,489
40.77370834350586,-73.87081909179688,489
40.773738861083984,-73.8708267211914,488
40.77406311035156,-73.87448120117188,488
40.75114059448242,-73.99411010742188,487
40.77375030517578,-73.87085723876953,486
40.773780822753906,-73.87088775634766,486
40.64537811279297,-73.77668762207031,486
40.77370071411133,-73.870849609375,485
40.64540100097656,-73.7767105102539,485
40.77412033081055,-73.87303161621094,484
40.75117111206055,-73.99407196044922,483
40.77376937866211,-73.87090301513672,482
40.773719787597656,-73.87088775634766,482
40.774009704589844,-73.87442016601562,481
40.77370071411133,-73.87081146240234,481
40.773738861083984,-73.8709487915039,481
40.774078369140625,-73.87452697753906,480
40.645389556884766,-73.77667999267578,480
40.77373123168945,-73.8708267211914,480
40.75120162963867,-73.99411010742188,478
40.75114822387695,-73.99410247802734,478
40.751121520996094,-73.994140625,478
40.75114059448242,-73.99408721923828,478
40.77370071411133,-73.87081909179688,478
40.75122833251953,-73.9940414428711,478
40.645320892333984,-73.7767105102539,478
40.64540100097656,-73.7767333984375,476
40.77409362792969,-73.87451171875,476
40.64537811279297,-73.77667999267578,475
40.7741584777832,-73.87303161621094,474
40.645320892333984,-73.7767333984375,473
40.64535140991211,-73.7767105102539,473
40.645301818847656,-73.77671813964844,472
40.77375030517578,-73.87084197998047,471
40.7510986328125,-73.9941635131836,471
40.751121520996094,-73.99410247802734,471
40.75122833251953,-73.99405670166016,470
40.77378845214844,-73.8708724975586,470
40.77402877807617,-73.87447357177734,469
40.77375030517578,-73.8709487915039,469
40.773780822753906,-73.87091827392578,469
40.77404022216797,-73.87448120117188,468
40.645094,-73.787705,468
40.830873,-73.850828,468
40.773780822753906,-73.87090301513672,467
40.64533996582031,-73.77670288085938,467
40.751190185546875,-73.99410247802734,467
40.645389556884766,-73.7767105102539,467
40.773719787597656,-73.87085723876953,466
40.751121520996094,-73.9941635131836,466
40.77408981323242,-73.87454223632812,465
40.645328521728516,-73.77671813964844,465
40.751121520996094,-73.99411010742188,465
40.75117111206055,-73.9941177368164,465
40.77402877807617,-73.87442016601562,465
40.75120162963867,-73.99404907226562,464
40.75114822387695,-73.99411010742188,464
40.77410888671875,-73.87458038330078,463
40.645408630371094,-73.77674865722656,463
40.77399826049805,-73.87442779541016,462
40.758452,-73.93748,462
40.77376937866211,-73.870849609375,461
40.77410125732422,-73.87457275390625,461
40.7510986328125,-73.994140625,461
40.773780822753906,-73.8708724975586,460
40.645389556884766,-73.77668762207031,460
40.773681640625,-73.87079620361328,459
40.77370071411133,-73.8708267211914,459
40.75114822387695,-73.99408721923828,459
40.77406311035156,-73.87447357177734,458
40.774070739746094,-73.87445068359375,458
40.751251220703125,-73.99403381347656,458
40.77402877807617,-73.8744125366211,457
40.75117874145508,-73.99405670166016,456
40.75115966796875,-73.99407958984375,455
40.64535140991211,-73.77667999267578,455
40.751220703125,-73.99405670166016,455
40.645320892333984,-73.77667999267578,454
40.7690315246582,-73.86276245117188,454
40.64535140991211,-73.77668762207031,453
40.77408981323242,-73.87447357177734,452
40.645408630371094,-73.77668762207031,452
40.773990631103516,-73.8744125366211,452
40.77373123168945,-73.87093353271484,452
40.644710540771484,-73.78191375732422,451
40.751121520996094,-73.99413299560547,451
40.7740364074707,-73.87445831298828,451
40.75114059448242,-73.99407958984375,451
40.774131774902344,-73.87457275390625,451
40.77376937866211,-73.8709487915039,450
40.645408630371094,-73.77667999267578,450
40.64537048339844,-73.77667236328125,450
40.77408981323242,-73.87454986572266,449
40.645328521728516,-73.7767105102539,449
40.774070739746094,-73.87452697753906,449
40.75122833251953,-73.99403381347656,448
40.7510986328125,-73.9941177368164,448
40.773719787597656,-73.87081909179688,447
40.645320892333984,-73.77671813964844,446
40.751121520996094,-73.99414825439453,445
40.77370834350586,-73.8708724975586,445
40.7740364074707,-73.87445068359375,445
40.774009704589844,-73.87442779541016,444
40.75122833251953,-73.99408721923828,444
40.77370071411133,-73.8708724975586,444
40.77381134033203,-73.8709487915039,444
40.77370834350586,-73.87085723876953,443
40.774070739746094,-73.87444305419922,443
40.64543151855469,-73.7767333984375,442
40.77378845214844,-73.87095642089844,442
40.751190185546875,-73.9941177368164,442
40.77373123168945,-73.87081909179688,441
40.773719787597656,-73.87079620361328,441
40.77373123168945,-73.87091827392578,441
40.77410888671875,-73.87300872802734,441
40.773719787597656,-73.8708267211914,441
40.751220703125,-73.99408721923828,441
40.77376937866211,-73.87088012695312,440
40.64543151855469,-73.77670288085938,440
40.77397918701172,-73.87444305419922,440
40.77370834350586,-73.87079620361328,440
40.77399826049805,-73.87442016601562,439
40.77397155761719,-73.87444305419922,439
40.75117111206055,-73.99407958984375,438
40.77378845214844,-73.87094116210938,437
40.75115966796875,-73.99411010742188,436
40.7740592956543,-73.87449645996094,436
40.645301818847656,-73.7767333984375,435
40.774009704589844,-73.87445068359375,435
40.7510986328125,-73.99414825439453,435
40.77373123168945,-73.87090301513672,435
40.64539337158203,-73.7767105102539,435
40.75117111206055,-73.99405670166016,435
40.75115966796875,-73.99408721923828,434
40.773990631103516,-73.87442779541016,433
40.77370071411133,-73.87088775634766,433
40.645320892333984,-73.77668762207031,433
40.75114059448242,-73.99413299560547,433
40.7510986328125,-73.99413299560547,433
40.64535903930664,-73.77670288085938,433
40.751251220703125,-73.9940414428711,432
40.774131774902344,-73.87303161621094,432
40.751190185546875,-73.99411010742188,432
40.644710540771484,-73.78192138671875,431
40.751220703125,-73.99404907226562,431
40.751220703125,-73.99410247802734,431
40.77412033081055,-73.87449645996094,431
40.773990631103516,-73.87442016601562,430
40.7740592956543,-73.87445068359375,430
40.774051666259766,-73.8744888305664,430
40.774131774902344,-73.87455749511719,429
40.751220703125,-73.99403381347656,429
40.773990631103516,-73.87445068359375,429
40.64535140991211,-73.7767333984375,428
40.77370834350586,-73.870849609375,428
40.7512092590332,-73.99407196044922,428
40.644691467285156,-73.78193664550781,428
40.77375030517578,-73.8708267211914,428
40.77399826049805,-73.87445831298828,427
40.64540100097656,-73.77667999267578,427
40.75117874145508,-73.99413299560547,426
40.77370834350586,-73.87088775634766,426
40.77410125732422,-73.8744888305664,426
40.774009704589844,-73.87445831298828,426
40.751190185546875,-73.99405670166016,426
40.77410125732422,-73.87448120117188,426
40.77409362792969,-73.87451934814453,425
40.64539337158203,-73.77670288085938,425
40.82100296020508,-73.95466613769531,425
40.77402114868164,-73.87442016601562,424
40.75117874145508,-73.994140625,424
40.77412033081055,-73.87458038330078,424
40.7510986328125,-73.99417877197266,424
40.774131774902344,-73.87454986572266,424
40.75114822387695,-73.994140625,424
40.75114059448242,-73.99407196044922,423
40.77370071411133,-73.87078857421875,421
40.77373123168945,-73.87081146240234,420
40.75120162963867,-73.9940414428711,420
40.7740592956543,-73.87444305419922,420
40.77378845214844,-73.8709716796875,420
40.75114822387695,-73.99407958984375,420
40.75114059448242,-73.99414825439453,419
40.645408630371094,-73.77674102783203,419
40.7740478515625,-73.87445831298828,418
40.77396011352539,-73.87444305419922,418
40.77408981323242,-73.87445831298828,418
40.77412033081055,-73.87300872802734,418
40.774051666259766,-73.87442779541016,418
40.77412033081055,-73.87306213378906,418
40.645416259765625,-73.7767333984375,418
40.77410888671875,-73.87306213378906,418
40.77410888671875,-73.87303161621094,417
40.77405548095703,-73.87447357177734,417
40.774131774902344,-73.87300872802734,417
40.7222900390625,-73.9867172241211,416
40.77376937866211,-73.87091827392578,416
40.76044845581055,-74.00287628173828,416
40.77410888671875,-73.87458801269531,415
40.77402114868164,-73.8744125366211,414
40.77410125732422,-73.87458038330078,414
40.774070739746094,-73.87300872802734,413
40.77410888671875,-73.87299346923828,413
40.77376937866211,-73.87085723876953,413
40.76905059814453,-73.86277770996094,413
40.75127029418945,-73.99403381347656,413
40.75114059448242,-73.9941635131836,412
40.774078369140625,-73.87454223632812,412
40.77370834350586,-73.8708267211914,411
40.77412033081055,-73.87301635742188,411
40.773738861083984,-73.87081146240234,411
40.75115966796875,-73.99407196044922,411
40.64539337158203,-73.77671813964844,411
40.77404022216797,-73.87442779541016,411
40.64537811279297,-73.77674865722656,411
40.7741584777832,-73.87300872802734,410
40.7740592956543,-73.8744888305664,410
40.645301818847656,-73.7767105102539,410
40.773681640625,-73.87084197998047,410
40.77370834350586,-73.87088012695312,409
40.75114822387695,-73.99413299560547,409
40.77408218383789,-73.87449645996094,409
40.77401351928711,-73.87445068359375,408
40.77412033081055,-73.87451171875,408
40.77408981323242,-73.87455749511719,408
40.77370834350586,-73.87081146240234,408
40.64537811279297,-73.77669525146484,408
40.77402877807617,-73.87448120117188,408
40.751220703125,-73.9940414428711,408
40.77381134033203,-73.8709716796875,407
40.751121520996094,-73.99408721923828,407
40.751251220703125,-73.99404907226562,407
40.774139404296875,-73.87300872802734,407
40.75117111206055,-73.99411010742188,406
40.77415084838867,-73.87303161621094,406
40.773780822753906,-73.87088012695312,406
40.751068115234375,-73.99417877197266,406
40.64539337158203,-73.77669525146484,406
40.773719787597656,-73.87091064453125,406
40.77412033081055,-73.87303924560547,405
40.77405548095703,-73.87448120117188,405
40.773681640625,-73.87078857421875,405
40.6453857421875,-73.77669525146484,405
40.64537048339844,-73.77674102783203,405
40.6453857421875,-73.77670288085938,405
40.77399826049805,-73.87445068359375,405
40.645328521728516,-73.7767333984375,403
40.77376937866211,-73.87094116210938,403
40.751068115234375,-73.9941635131836,403
40.77410125732422,-73.87299346923828,402
40.77406311035156,-73.87449645996094,402
40.64543151855469,-73.77671813964844,402
40.77406311035156,-73.87445831298828,402
40.77405548095703,-73.87445831298828,402
40.64540100097656,-73.77674865722656,401
40.644710540771484,-73.78193664550781,401
40.64535903930664,-73.77667999267578,401
40.774070739746094,-73.87303161621094,401
40.7740478515625,-73.87447357177734,401
40.773681640625,-73.87081909179688,401
40.77381134033203,-73.87091064453125,400
40.751251220703125,-73.99407958984375,400
40.6453857421875,-73.77671813964844,400
40.77378845214844,-73.87088012695312,400
40.77410888671875,-73.8745346069336,400
40.773719787597656,-73.87081146240234,400
40.75115966796875,-73.99413299560547,400
40.774131774902344,-73.87454223632812,399
40.774078369140625,-73.87454986572266,399
40.75120162963867,-73.99403381347656,399
40.751190185546875,-73.99404907226562,399
